OFFENSE,YEAR,STREET,LAT,LON
ROBBERY,2018,CHARLES RIVER AVE,42.37056285,-71.06077324
ROBBERY,2018,BLUE HILL AVE,42.2777688,-71.09334841
ROBBERY,2018,MARLBOROUGH ST,42.34997016,-71.08939772
ROBBERY,2018,COLUMBUS AVE,42.32492546,-71.09839601
ROBBERY,2018,ANTHONY RIP VALENTI WAY,42.36434304,-71.05987586
ROBBERY,2018,BLUE HILL AVE,42.28863337,-71.08990388
ROBBERY,2018,DIX ST,42.29601566,-71.05766432
ROBBERY,2018,WASHINGTON ST,42.30022551,-71.07468313
ROBBERY,2018,CHARLES ST,42.30060543,-71.06126785
ROBBERY,2018,STATE ST,42.35942556,-71.05288819
ROBBERY,2018,GENEVA AVE,42.2991807,-71.06429139
ROBBERY,2018,SOUTHAMPTON ST,42.3309164,-71.06415106
ROBBERY,2018,BLUE HILL AVE,42.31915303,-71.07775478
ROBBERY,2018,MORTON ST,42.28187061,-71.08751152
ROBBERY,2018,AUSTIN ST,42.37507158,-71.06517497
ROBBERY,2018,IRMA ST,42.28766525,-71.08733059
ROBBERY,2018,WINSLOW ST,42.32917276,-71.08135973
ROBBERY,2018,BLUE HILL AVE,42.3088984,-71.0830519
ROBBERY,2018,CHARLES ST,42.35645514,-71.06956975
ROBBERY,2018,BROOKS ST,42.37624409,-71.03272932
ROBBERY,2018,LEWIS ST,42.36689348,-71.04130322
ROBBERY,2018,TRUMAN PKWY,42.25194322,-71.11925138
ROBBERY,2018,QUINCY ST,42.31598503,-71.08162355
ROBBERY,2018,MASSACHUSETTS AVE,42.32198656,-71.06280666
ROBBERY,2018,CENTRE ST,42.32283759,-71.10096723
ROBBERY,2018,BLUE HILL AVE,42.27653731,-71.0933951
ROBBERY,2018,CENTRAL SQ,42.37505251,-71.03883891
ROBBERY,2018,ARCHDALE RD,42.29277202,-71.12138967
ROBBERY,2018,BREMEN ST,42.36971223,-71.03793387
ROBBERY,2018,BEACON ST,42.3360657,-71.1506272
ROBBERY,2018,NEWBURY ST,42.3494205,-71.083158
ROBBERY,2018,SOUTHAMPTON ST,42.33210843,-71.07014395
ROBBERY,2018,E SIXTH ST,42.33319534,-71.03120766
ROBBERY,2018,RUTHERFORD AVE,42.37167264,-71.06326413
ROBBERY,2018,ADAMS ST,42.2972764,-71.05667294
ROBBERY,2018,SOLDIERS FIELD RD,42.35891094,-71.15765076
ROBBERY,2018,VFW PKWY,42.28536992,-71.17244016
ROBBERY,2018,GERARD ST,42.33130578,-71.07194742
ROBBERY,2018,QUINCY ST,42.31297722,-71.07499278
ROBBERY,2018,PEARL ST,42.35452562,-71.05335664
ROBBERY,2018,JULIETTE ST,42.30584423,-71.06261555
ROBBERY,2018,PRESCOTT ST,42.23651388,-71.13317161
ROBBERY,2018,NEPONSET VALLEY PKWY,42.23707712,-71.13141342
ROBBERY,2018,BLUE HILL AVE,42.31162834,-71.08094294
ROBBERY,2018,HAMILTON ST,42.30587884,-71.06663793
ROBBERY,2018,DUDLEY ST,42.32919289,-71.08730233
ROBBERY,2018,WASHINGTON ST,42.29307537,-71.07183785
ROBBERY,2018,WASHINGTON ST,42.29307537,-71.07183785
ROBBERY,2018,DUDLEY ST,42.32872589,-71.08382217
ROBBERY,2018,WASHINGTON ST,42.35213476,-71.06266757
ROBBERY,2018,NIGHTINGALE ST,42.29540175,-71.08237834
ROBBERY,2018,AUSTIN ST,42.37507158,-71.06517497
ROBBERY,2018,BORDER ST,42.37382755,-71.04052459
ROBBERY,2018,MASSACHUSETTS AVE,42.33081031,-71.07024806
ROBBERY,2018,BOSTON ST,42.32077172,-71.0612999
ROBBERY,2018,WALK HILL ST,42.28082671,-71.09754718
ROBBERY,2018,DUDLEY ST,42.32853529,-71.08213874
ROBBERY,2018,HAMPDEN ST,42.32738112,-71.0751843
ROBBERY,2018,STELLA RD,42.28104731,-71.11698982
ROBBERY,2018,BLUE HILL AVE,42.28863337,-71.08990388
ROBBERY,2018,FULLER ST,42.28248068,-71.06981187
ROBBERY,2018,BEACH ST,42.30178949,-71.05514183
ROBBERY,2018,MILL ST,42.29921088,-71.05203766
ROBBERY,2018,INDIA ST,42.35847666,-71.05324087
ROBBERY,2018,COMMONWEALTH AVE,42.34888559,-71.14007361
ROBBERY,2018,BENNINGTON ST,42.37803936,-71.0304617
ROBBERY,2018,CHARLES ST,42.30078455,-71.06000691
ROBBERY,2018,MILK ST,42.35822966,-71.05362239
ROBBERY,2018,BLUE HILL AVE,42.30711484,-71.08425151
ROBBERY,2018,FULLER ST,42.28154388,-71.07350542
ROBBERY,2018,WASHINGTON ST,42.35272948,-71.06256291
ROBBERY,2018,SUMMER ST,42.35521625,-71.06012863
ROBBERY,2018,STATE ST,42.35913205,-71.05504984
ROBBERY,2018,ALBANY ST,42.33428841,-71.07239518
ROBBERY,2018,STATE ST,42.35942556,-71.05288819
ROBBERY,2018,BOYLSTON ST,42.34489594,-71.09659186
ROBBERY,2018,TREMONT ST,42.35637531,-71.06213513
ROBBERY,2018,HARRISON AVE,42.34285014,-71.06516235
ROBBERY,2018,HARTFORD ST,42.3174536,-71.07327858
ROBBERY,2018,STANIFORD ST,42.36243437,-71.0639181
ROBBERY,2018,CANAL ST,42.36489527,-71.06050249
ROBBERY,2018,BOWDOIN ST,42.30624383,-71.06701196
ROBBERY,2018,OLD COLONY AVE,42.33397571,-71.05463126
ROBBERY,2018,HYDE PARK AVE,42.23504691,-71.13289238
ROBBERY,2018,MASSACHUSETTS AVE,42.32198656,-71.06280666
ROBBERY,2018,MORTON ST,42.28187061,-71.08751152
ROBBERY,2018,WARREN ST,42.3169665,-71.08254058
ROBBERY,2018,CHAMBERLAIN ST,42.29851793,-71.07499608
ROBBERY,2018,CHELSEA ST,42.37172266,-71.03665549
ROBBERY,2018,CHELSEA ST,42.37172266,-71.03665549
ROBBERY,2018,CHELSEA ST,42.37945053,-71.02770085
ROBBERY,2018,HEMENWAY ST,42.34587157,-71.08938851
ROBBERY,2018,E EAGLE ST,42.38133666,-71.03026947
ROBBERY,2018,CAMBRIDGE ST,42.36116347,-71.06391344
ROBBERY,2018,NEPONSET VALLEY PKWY,42.23603929,-71.12718154
ROBBERY,2018,WASHINGTON ST,42.35174282,-71.0627594
ROBBERY,2018,TREMONT ST,42.35594239,-71.06258333
ROBBERY,2018,PEACEVALE RD,42.28716674,-71.07633479
ROBBERY,2018,WASHINGTON ST,42.31615184,-71.09795135
ROBBERY,2018,FESSENDEN ST,42.27855984,-71.09199697
ROBBERY,2018,BOYLSTON ST,42.34932471,-71.08014801
ROBBERY,2018,BLUE HILL AVE,42.2777688,-71.09334841
ROBBERY,2018,MASSACHUSETTS AVE,42.33152148,-71.07085307
ROBBERY,2018,CHARLES ST,42.35913227,-71.07074326
