"distance","Legend","MUNI","Area","counter","distInt","Building_Density"
-7260,"Inside the UGA","MANOR TOWNSHIP",8639276.46693959,215,"(-7266,-7235]",2.48863432977001e-05
-7920,"Inside the UGA","MANOR TOWNSHIP",6891976.30560708,220,"(-7948,-7917]",3.19211776484222e-05
-8580,"Inside the UGA","MANOR TOWNSHIP",4933733.00054681,301,"(-8599,-8568]",6.10085709880612e-05
-9240,"Inside the UGA","MANOR TOWNSHIP",3402260.48731959,293,"(-9250,-9219]",8.61192142965028e-05
-9900,"Inside the UGA","MANOR TOWNSHIP",2135344.83785039,67,"(-9901,-9870]",3.13766651701313e-05
-10560,"Inside the UGA","MANOR TOWNSHIP",950458.72468932,67,"(-1.058e+04,-1.055e+04]",7.0492277317882e-05
-11220,"Inside the UGA","MANOR TOWNSHIP",62.9913419352815,0,"(-1.123e+04,-1.12e+04]",0
660,"Outside the UGA","MANOR TOWNSHIP",38216095.2766257,145,"(639,670]",3.79421285587717e-06
1320,"Outside the UGA","MANOR TOWNSHIP",36018860.6978575,91,"(1290,1321]",2.52645414754646e-06
1980,"Outside the UGA","MANOR TOWNSHIP",34509405.2357803,50,"(1972,2003]",1.4488803750277e-06
2640,"Outside the UGA","MANOR TOWNSHIP",34606126.3161923,70,"(2623,2654]",2.02276323447524e-06
3300,"Outside the UGA","MANOR TOWNSHIP",33779021.3989815,157,"(3274,3305]",4.64785519229796e-06
3300,"Outside the UGA","MANOR TOWNSHIP",6.01721694692969e-09,0,"(3274,3305]",0
3960,"Outside the UGA","MANOR TOWNSHIP",33724100.6854957,123,"(3956,3987]",3.64724329188415e-06
4620,"Outside the UGA","MANOR TOWNSHIP",34268818.8632426,109,"(4607,4638]",3.1807340788426e-06
5280,"Outside the UGA","MANOR TOWNSHIP",34777473.4093331,127,"(5258,5289]",3.65178914825703e-06
5940,"Outside the UGA","MANOR TOWNSHIP",35056895.6288163,152,"(5909,5940]",4.33580889789506e-06
6600,"Outside the UGA","MANOR TOWNSHIP",34560830.0267532,108,"(6591,6622]",3.12492494874684e-06
7260,"Outside the UGA","MANOR TOWNSHIP",32980785.277528,141,"(7242,7273]",4.27521657878997e-06
7920,"Outside the UGA","MANOR TOWNSHIP",31952810.3824744,103,"(7893,7924]",3.22350362196916e-06
8580,"Outside the UGA","MANOR TOWNSHIP",31424039.8177895,124,"(8575,8606]",3.94602351317676e-06
9240,"Outside the UGA","MANOR TOWNSHIP",30932073.3625081,161,"(9226,9257]",5.20495338651122e-06
9900,"Outside the UGA","MANOR TOWNSHIP",30653443.0547622,61,"(9877,9908]",1.98998852726018e-06
10560,"Outside the UGA","MANOR TOWNSHIP",30527823.5430779,101,"(1.056e+04,1.059e+04]",3.3084572785701e-06
11220,"Outside the UGA","MANOR TOWNSHIP",30362095.7780933,100,"(1.121e+04,1.124e+04]",3.29358028282591e-06
11880,"Outside the UGA","MANOR TOWNSHIP",30132498.6007808,70,"(1.186e+04,1.189e+04]",2.32307320170874e-06
12540,"Outside the UGA","MANOR TOWNSHIP",29920951.9818136,64,"(1.251e+04,1.254e+04]",2.1389693763387e-06
