INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182028362,00301,Robbery,ROBBERY - STREET,B3,466,,2018-04-14 01:00:00,2018,4,Saturday,1,Part One,DEERING RD,42.28414025,-71.09305138,"(42.28414025, -71.09305138)"
I182028333,00361,Robbery,ROBBERY - OTHER,A1,101,,2018-04-16 02:27:00,2018,4,Monday,2,Part One,STATE ST,42.35942556,-71.05288819,"(42.35942556, -71.05288819)"
I182028324,00371,Robbery,ROBBERY - HOME INVASION,B3,408,,2018-04-16 00:29:00,2018,4,Monday,0,Part One,TEMPLE ST,42.27327428,-71.07251356,"(42.27327428, -71.07251356)"
I182028292,00311,Robbery,ROBBERY - COMMERCIAL,A15,54,,2018-04-15 21:36:00,2018,4,Sunday,21,Part One,MAIN ST,42.37746305,-71.06697969,"(42.37746305, -71.06697969)"
I182028251,00311,Robbery,ROBBERY - COMMERCIAL,C11,365,,2018-04-15 18:14:00,2018,4,Sunday,18,Part One,DORCHESTER AVE,42.2908347,-71.06288798,"(42.29083470, -71.06288798)"
I182028184,00301,Robbery,ROBBERY - STREET,C11,403,,2018-04-15 12:53:00,2018,4,Sunday,12,Part One,FULLER ST,42.28314378,-71.06766456,"(42.28314378, -71.06766456)"
I182027998,00301,Robbery,ROBBERY - STREET,B2, ,,2018-04-14 18:55:00,2018,4,Saturday,18,Part One,CEDAR ST,,,"(0.00000000, 0.00000000)"
I182027835,00311,Robbery,ROBBERY - COMMERCIAL,E13,304,,2018-04-14 08:02:00,2018,4,Saturday,8,Part One,COLUMBUS AVE,42.31771534,-71.09823049,"(42.31771534, -71.09823049)"
I182027830,00301,Robbery,ROBBERY - STREET,A1,229,,2018-04-14 06:39:00,2018,4,Saturday,6,Part One,BOYLSTON ST,42.3523119,-71.0637051,"(42.35231190, -71.06370510)"
I182027815,00301,Robbery,ROBBERY - STREET,A7,16,,2018-04-14 03:28:00,2018,4,Saturday,3,Part One,FALCON ST,42.38196252,-71.03026651,"(42.38196252, -71.03026651)"
I182027766,00301,Robbery,ROBBERY - STREET,A7,14,,2018-04-13 22:51:00,2018,4,Friday,22,Part One,BENNINGTON ST,42.38305084,-71.0173536,"(42.38305084, -71.01735360)"
I182027622,00351,Robbery,ROBBERY - BANK,A1,105,,2018-04-13 13:12:00,2018,4,Friday,13,Part One,SUMMER ST,42.35474968,-71.05951251,"(42.35474968, -71.05951251)"
I182027579,00301,Robbery,ROBBERY - STREET,D4,172,,2018-04-13 11:36:00,2018,4,Friday,11,Part One,ALBANY ST,42.33428841,-71.07239518,"(42.33428841, -71.07239518)"
I182027492,00301,Robbery,ROBBERY - STREET,D4,624,,2018-04-13 00:05:00,2018,4,Friday,0,Part One,BROOKLINE AVE,42.34717072,-71.09855075,"(42.34717072, -71.09855075)"
I182027379,00301,Robbery,ROBBERY - STREET,B2,329,,2018-04-12 19:54:00,2018,4,Thursday,19,Part One,BRUNSWICK ST,42.31089986,-71.08007661,"(42.31089986, -71.08007661)"
I182027139,00301,Robbery,ROBBERY - STREET,B2,290,,2018-04-11 21:04:00,2018,4,Wednesday,21,Part One,ROXBURY ST,42.3300733,-71.09126467,"(42.33007330, -71.09126467)"
I182027050,00361,Robbery,ROBBERY - OTHER,B2,329,,2018-04-11 15:13:00,2018,4,Wednesday,15,Part One,BLUE HILL AVE,42.30938437,-71.08262277,"(42.30938437, -71.08262277)"
I182026958,00361,Robbery,ROBBERY - OTHER,D4, ,,2018-04-11 11:35:00,2018,4,Wednesday,11,Part One,ALBANY ST,,,"(0.00000000, 0.00000000)"
I182026916,00371,Robbery,ROBBERY - HOME INVASION,E5,564,,2018-04-11 10:01:00,2018,4,Wednesday,10,Part One,WASHINGTON ST,42.29492396,-71.11910662,"(42.29492396, -71.11910662)"
I182026908,00301,Robbery,ROBBERY - STREET,A7,16,,2018-04-11 09:30:00,2018,4,Wednesday,9,Part One,NEPTUNE RD,42.38043677,-71.02611991,"(42.38043677, -71.02611991)"
I182026868,00301,Robbery,ROBBERY - STREET,D14,783,,2018-04-10 22:47:00,2018,4,Tuesday,22,Part One,COMMONWEALTH AVE,42.34888559,-71.14007361,"(42.34888559, -71.14007361)"
I182026820,00301,Robbery,ROBBERY - STREET,B3,468,,2018-04-10 19:30:00,2018,4,Tuesday,19,Part One,WELLINGTON HILL ST,42.28039667,-71.09473186,"(42.28039667, -71.09473186)"
I182026600,00301,Robbery,ROBBERY - STREET,D4,598,,2018-04-10 02:30:00,2018,4,Tuesday,2,Part One,DALTON ST,42.34634313,-71.08482013,"(42.34634313, -71.08482013)"
I182026560,00311,Robbery,ROBBERY - COMMERCIAL,C6,191,,2018-04-09 21:12:00,2018,4,Monday,21,Part One,DORCHESTER AVE,42.3290376,-71.05694505,"(42.32903760, -71.05694505)"
I182026377,00301,Robbery,ROBBERY - STREET,D4, ,,2017-05-12 21:00:00,2017,5,Friday,21,Part One,,,,"(0.00000000, 0.00000000)"
I182026236,00301,Robbery,ROBBERY - STREET,A1,115,,2018-04-08 19:00:00,2018,4,Sunday,19,Part One,SOUTH ST,42.35110203,-71.05735186,"(42.35110203, -71.05735186)"
