the_geom,cartodb_id,station,line,terminus,route
0101000020E6100000EEC8CB8F96C551C04B6BFBAE8A2C4540,77,Hynes Convention Center,GREEN,N,B C D
0101000020E610000063218C4F67C651C00BF8C785B22C4540,78,Blandford Street,GREEN,N,B - Boston College
0101000020E6100000C92586F2AEC651C01B9A92A9C32C4540,79,Boston University East,GREEN,N,B - Boston College
0101000020E610000036F106AED9C651C02277B122CE2C4540,80,Boston University Central,GREEN,N,B - Boston College
0101000020E61000007C8E60B043C751C0601C92B9E72C4540,81,Boston University West,GREEN,N,B - Boston College
0101000020E61000009B1D0B2E72C751C0E138C2E8F22C4540,82,Saint Paul Street,GREEN,N,B - Boston College
0101000020E6100000FDFF7BAE9EC751C0C073DC9CFD2C4540,83,Pleasant Street,GREEN,N,B - Boston College
0101000020E61000004E92812ECAC751C06D9DBD12082D4540,84,Babcock Street,GREEN,N,B - Boston College
0101000020E610000099D632B303C851C0367A4A51072D4540,85,Packards Corner,GREEN,N,B - Boston College
0101000020E61000004B30476C62C851C005A0034BDA2C4540,86,Harvard Avenue,GREEN,N,B - Boston College
0101000020E61000003D73176E99C851C0427F271EA62C4540,87,Griggs Street,GREEN,N,B - Boston College
0101000020E61000002A86950ACFC851C0F6DF37249E2C4540,88,Allston Street,GREEN,N,B - Boston College
0101000020E61000006041D9B2F9C851C09EED23B39F2C4540,89,Warren Street,GREEN,N,B - Boston College
0101000020E61000001F2D37851FC951C01D11623B0C2C4540,90,Washington Street,GREEN,N,B - Boston College
0101000020E610000071E017785DC951C0125E8349B82B4540,91,Sutherland Road,GREEN,N,B - Boston College
0101000020E6100000DDB8B42FA9C951C08ECA935F992B4540,92,Chiswick Road,GREEN,N,B - Boston College
0101000020E610000035FDB81AC5C951C03FF22E84562B4540,93,Chestnut Hill Avenue,GREEN,N,B - Boston College
0101000020E610000033C6309310CA51C063CBDD3A732B4540,94,South Street,GREEN,N,B - Boston College
0101000020E61000005D777989B0CA51C009ADA1368A2B4540,95,Boston College,GREEN,Y,B - Boston College
0101000020E6100000F44783E98DC951C08E022287062B4540,96,Cleveland Circle,GREEN,Y,C - Cleveland Circle
0101000020E610000060677DD84FC951C085266C51222B4540,97,Englewood Avenue,GREEN,N,C - Cleveland Circle
0101000020E6100000F809DCCB15C951C0E8512C393A2B4540,98,Dean Road,GREEN,N,C - Cleveland Circle
