OFFENSE,YEAR,STREET,LAT,LON
ROBBERY,2012,GENEVA AV,42.29848136,-71.06315456
ROBBERY,2012,FREDERIKA ST,42.28347136,-71.05908957
ROBBERY,2012,SACHEM ST,42.33102635,-71.10532455
ROBBERY,2012,NEWPORT ST,42.31801471,-71.05404178
ROBBERY,2012,BARRY ST,42.30742635,-71.07015956
ROBBERY,2012,MASSACHUSETTS AV,42.33151135,-71.07083456
ROBBERY,2012,HYDE PARK AV,42.26701069,-71.12097728
ROBBERY,2012,BOYLSTON ST,42.35237134,-71.06490456
ROBBERY,2012,COLUMBUS AV,42.33786135,-71.08544455
ROBBERY,2012,LOMBARD ST,42.28571136,-71.06175957
ROBBERY,2012,LONDON ST,42.37331134,-71.03902957
ROBBERY,2012,BERKELEY ST,42.35202135,-71.07344956
ROBBERY,2012,RUGGLES ST,42.33450135,-71.08950956
ROBBERY,2012,FULLER ST,42.2836616,-71.06589348
ROBBERY,2012,BOYLSTON ST,42.35237134,-71.06490456
ROBBERY,2012,MASSACHUSETTS AV,42.33325635,-71.07289955
ROBBERY,2012,OLD COLONY AV,42.32657135,-71.05252956
ROBBERY,2012,CENTRAL AV,42.25934136,-71.12029955
ROBBERY,2012,BUSINESS ST,42.25234721,-71.12821136
ROBBERY,2012,BOYLSTON ST,42.34652135,-71.09043955
ROBBERY,2012,PARK DR,42.34321135,-71.09455955
ROBBERY,2012,MASSACHUSETTS AV,42.33490135,-71.07516956
ROBBERY,2012,FRANCIS ST,42.33546135,-71.10691954
ROBBERY,2012,TOWNSEND ST,42.31810643,-71.09023792
ROBBERY,2012,CENTRE ST,42.32276135,-71.10442455
ROBBERY,2012,HARVARD AV,42.34902135,-71.12987954
ROBBERY,2012,GLENVILLE AV,42.35113135,-71.13142954
ROBBERY,2012,HEATH ST,42.32623635,-71.10315955
ROBBERY,2012,CHARLES ST,42.30013136,-71.06338957
ROBBERY,2012,IDAHO ST,42.2727368,-71.07640917
ROBBERY,2012,BOYLSTON ST,42.34689135,-71.08920955
ROBBERY,2012,EDWIN ST,42.28941636,-71.06051457
ROBBERY,2012,CHENEY ST,42.30918135,-71.08488455
ROBBERY,2012,COLUMBUS AV,42.34811134,-71.07241456
ROBBERY,2012,NORFOLK ST,42.27783136,-71.09097956
ROBBERY,2012,HAVILAND ST,42.34636135,-71.08925955
ROBBERY,2012,DORCHESTER AV,42.28744136,-71.06382957
ROBBERY,2012,SHAWMUT AV,42.33566135,-71.08045956
ROBBERY,2012,GALLIVAN BL,42.28260136,-71.05613457
ROBBERY,2012,POPLAR ST,42.28591027,-71.12887946
ROBBERY,2012,DITMUS CT,42.33716135,-71.08260955
ROBBERY,2012,ROSECLAIR ST,42.32086086,-71.06007161
ROBBERY,2012,ADAMS ST,42.29726136,-71.05662957
ROBBERY,2012,BEACON ST,42.35191135,-71.08549956
ROBBERY,2012,LEXINGTON ST,42.37713134,-71.03989957
ROBBERY,2012,BLUE HILL AV,42.27058636,-71.09360455
ROBBERY,2012,ST STEPHEN ST,42.33856635,-71.09007455
ROBBERY,2012,GENEVA AV,42.30107136,-71.06751957
ROBBERY,2012,SPENCER ST,42.29201766,-71.07544791
ROBBERY,2012,PARKER ST,42.33514135,-71.09477955
